epo=	0	loss= 	 0.6292522295937326	P^2_sum= 	0.533412362437703	purity =	0.8923370959557066	offD = 	0.4893502034316538	-2.802364396092827e-09
epo=	50	loss= 	 0.5962936578691084	P^2_sum= 	0.518545036928684	purity =	0.8923371127039734	offD = 	0.4411855476564822	-3.512226565138832e-09
epo=	100	loss= 	 0.5702376491424036	P^2_sum= 	0.5098666806774574	purity =	0.8923369459370204	offD = 	0.4030014618966201	-4.340217407694524e-09
epo=	150	loss= 	 0.5498180894396337	P^2_sum= 	0.5049637699093742	purity =	0.8923370621745603	offD = 	0.3714125282994769	-5.2293725461005636e-09
epo=	200	loss= 	 0.5302373367103291	P^2_sum= 	0.501828533906765	purity =	0.8923367796585184	offD = 	0.40084710224412257	-7.035732663140948e-09
epo=	250	loss= 	 0.503188030396418	P^2_sum= 	0.5000203659252536	purity =	0.8923369618068606	offD = 	0.4764128636273845	-9.635908515548408e-09
epo=	300	loss= 	 0.4612251369178366	P^2_sum= 	0.5030070073445109	purity =	0.8923369372935883	offD = 	0.5700715397735818	-1.2679210903421279e-08
epo=	350	loss= 	 0.4048402387543552	P^2_sum= 	0.5181108239937299	purity =	0.8923369874945403	offD = 	0.6486088786894191	-1.5613720982798895e-08
epo=	400	loss= 	 0.34183418392647047	P^2_sum= 	0.5500330356143418	purity =	0.8923371426680256	offD = 	0.6890853062213976	-1.7952169029111786e-08
epo=	450	loss= 	 0.28118287945132403	P^2_sum= 	0.5957618711289693	purity =	0.8923369002690804	offD = 	0.6881212232518354	-1.9514059784730975e-08
epo=	500	loss= 	 0.2287540223018184	P^2_sum= 	0.6471488058210975	purity =	0.8923369440773764	offD = 	0.6546142512850872	-2.03617564753511e-08
epo=	550	loss= 	 0.1865323121922698	P^2_sum= 	0.6965239436469	purity =	0.8923368492992914	offD = 	0.6022021947093739	-2.06823563830838e-08
epo=	600	loss= 	 0.15385002359537353	P^2_sum= 	0.739639710182181	purity =	0.8923369952216019	offD = 	0.541793880062265	-2.0655913313127883e-08
epo=	650	loss= 	 0.12895899958657386	P^2_sum= 	0.7753428616480992	purity =	0.892336906034803	offD = 	0.4792115168118307	-2.0398193863180314e-08
epo=	700	loss= 	 0.11007468379231877	P^2_sum= 	0.804083624558954	purity =	0.8923370124731606	offD = 	0.41833226375701427	-2.0000047267626497e-08
epo=	750	loss= 	 0.09577249395613072	P^2_sum= 	0.8267999186624697	purity =	0.8923370552308767	offD = 	0.3613371992328003	-1.952632121965392e-08
epo=	800	loss= 	 0.08499712709292123	P^2_sum= 	0.8444548052869534	purity =	0.8923369273748801	offD = 	0.3091716485058976	-1.901937442521512e-08
epo=	850	loss= 	 0.0769564546927124	P^2_sum= 	0.8579318955586797	purity =	0.8923370980450254	offD = 	0.26219204275271435	-1.8508473037179285e-08
epo=	900	loss= 	 0.07103254745425461	P^2_sum= 	0.8680263539432417	purity =	0.8923370872694005	offD = 	0.22043883093493655	-1.801375393685814e-08
epo=	950	loss= 	 0.06673108586837292	P^2_sum= 	0.8754441807580503	purity =	0.8923371567380636	offD = 	0.183771681806511	-1.7549241288243242e-08
epo=	1000	loss= 	 0.06365581851575342	P^2_sum= 	0.8807926655622169	purity =	0.8923370598818893	offD = 	0.15192442885572685	-1.712369114689402e-08
epo=	1050	loss= 	 0.06149223874787568	P^2_sum= 	0.884578294927674	purity =	0.8923370646664194	offD = 	0.12455074847557432	-1.6741883131134866e-08
epo=	1100	loss= 	 0.05999492315497453	P^2_sum= 	0.8872091311857138	purity =	0.8923370779814037	offD = 	0.10125698737795957	-1.6405464464772784e-08
epo=	1150	loss= 	 0.058975973864315856	P^2_sum= 	0.8890045087197895	purity =	0.8923370109987446	offD = 	0.08162816815142633	-1.6113858756876265e-08
epo=	1200	loss= 	 0.058294343985552555	P^2_sum= 	0.8902079252454809	purity =	0.8923370361875319	offD = 	0.06524610189388765	-1.5864836217850155e-08
epo=	1250	loss= 	 0.057846238028441785	P^2_sum= 	0.8909999993150854	purity =	0.8923369875586721	offD = 	0.05170344795179155	-1.5655116812108866e-08
epo=	1300	loss= 	 0.05755684044067918	P^2_sum= 	0.8915119566916276	purity =	0.8923369467644333	offD = 	0.04061438696230379	-1.5480785978865333e-08
epo=	1350	loss= 	 0.05737328536495016	P^2_sum= 	0.8918370051663315	purity =	0.8923370701392236	offD = 	0.03162049611026597	-1.5337687361653956e-08
epo=	1400	loss= 	 0.057258971322433586	P^2_sum= 	0.8920393167607437	purity =	0.8923369675726445	offD = 	0.02439546008546402	-1.5221625801280746e-08
epo=	1450	loss= 	 0.057189118997118434	P^2_sum= 	0.8921631290046539	purity =	0.8923370589233389	offD = 	0.018648453315823432	-1.5128611778798297e-08
epo=	1500	loss= 	 0.057147227182513534	P^2_sum= 	0.8922372361613203	purity =	0.892336967152228	offD = 	0.014121170934621483	-1.5054889625199484e-08
epo=	1550	loss= 	 0.05712259909981704	P^2_sum= 	0.8922811130470583	purity =	0.8923372030056091	offD = 	0.010590048745956027	-1.4997112387778004e-08
epo=	1600	loss= 	 0.05710838894097424	P^2_sum= 	0.8923060766870703	purity =	0.8923370040742696	offD = 	0.007863700375354929	-1.4952344711233016e-08
epo=	1650	loss= 	 0.057100363319700725	P^2_sum= 	0.8923201985662841	purity =	0.8923369130595082	offD = 	0.005780983661790449	-1.4918044198824337e-08
epo=	1700	loss= 	 0.05709592087218593	P^2_sum= 	0.8923279943925897	purity =	0.8923368426052011	offD = 	0.004206133473829171	-1.4892066938550913e-08
