epo=	0	loss= 	 -0.2564473219110834	P^2_sum= 	0.2564473219110834	purity =	0.31621844163776575	offD = 	0.05001456142591526
epo=	50	loss= 	 -0.2638037913791522	P^2_sum= 	0.2638037913791522	purity =	0.3162184416377657	offD = 	0.04429728648370168
epo=	100	loss= 	 -0.27305350147545276	P^2_sum= 	0.27305350147545276	purity =	0.31621844163776514	offD = 	0.03799488364537813
epo=	150	loss= 	 -0.2978171210495133	P^2_sum= 	0.2978171210495133	purity =	0.31621844163776563	offD = 	0.022998815934982868
epo=	200	loss= 	 -0.3119581745716877	P^2_sum= 	0.3119581745716877	purity =	0.31621844163776536	offD = 	0.011105867130239344
epo=	250	loss= 	 -0.31508295057429897	P^2_sum= 	0.31508295057429897	purity =	0.31621844163776563	offD = 	0.006256385433280013
epo=	300	loss= 	 -0.31576613535328174	P^2_sum= 	0.31576613535328174	purity =	0.31621844163776575	offD = 	0.004232493478065284
epo=	350	loss= 	 -0.31593616766727983	P^2_sum= 	0.31593616766727983	purity =	0.3162184416377654	offD = 	0.0031764166321398947
epo=	400	loss= 	 -0.31597932790030825	P^2_sum= 	0.31597932790030825	purity =	0.3162184416377658	offD = 	0.002710422823887953
epo=	450	loss= 	 -0.3159930873846219	P^2_sum= 	0.3159930873846219	purity =	0.3162184416377653	offD = 	0.002542586347769845
epo=	500	loss= 	 -0.316001367948185	P^2_sum= 	0.316001367948185	purity =	0.31621844163776536	offD = 	0.0024737766480933563
epo=	550	loss= 	 -0.31600923026371136	P^2_sum= 	0.31600923026371136	purity =	0.3162184416377655	offD = 	0.0024236362893216836
epo=	600	loss= 	 -0.3160175797411022	P^2_sum= 	0.3160175797411022	purity =	0.31621844163776536	offD = 	0.0023730133805145263
epo=	650	loss= 	 -0.3160265452116896	P^2_sum= 	0.3160265452116896	purity =	0.31621844163776563	offD = 	0.0023189663730383515
epo=	700	loss= 	 -0.31603611768875745	P^2_sum= 	0.31603611768875745	purity =	0.3162184416377655	offD = 	0.002261224090794854
epo=	750	loss= 	 -0.31604624544265913	P^2_sum= 	0.31604624544265913	purity =	0.3162184416377654	offD = 	0.0021998346565148055
epo=	800	loss= 	 -0.31605684300022513	P^2_sum= 	0.31605684300022513	purity =	0.3162184416377656	offD = 	0.002134946586061453
epo=	850	loss= 	 -0.31606779030775234	P^2_sum= 	0.31606779030775234	purity =	0.31621844163776547	offD = 	0.002066806555002119
epo=	900	loss= 	 -0.31607893508987606	P^2_sum= 	0.31607893508987606	purity =	0.31621844163776525	offD = 	0.001995766296012176
epo=	950	loss= 	 -0.31609010007919086	P^2_sum= 	0.31609010007919086	purity =	0.316218441637766	offD = 	0.0019223394480476644
epo=	1000	loss= 	 -0.3161010941303042	P^2_sum= 	0.3161010941303042	purity =	0.3162184416377652	offD = 	0.0018471785269856139
epo=	1050	loss= 	 -0.3161117265351091	P^2_sum= 	0.3161117265351091	purity =	0.3162184416377657	offD = 	0.0017710842034386594
epo=	1100	loss= 	 -0.3161218226322548	P^2_sum= 	0.3161218226322548	purity =	0.31621844163776525	offD = 	0.0016949252549207441
epo=	1150	loss= 	 -0.31613123700410006	P^2_sum= 	0.31613123700410006	purity =	0.31621844163776563	offD = 	0.0016196183013809464
epo=	1200	loss= 	 -0.3161398628848121	P^2_sum= 	0.3161398628848121	purity =	0.3162184416377655	offD = 	0.0015460776762987786
epo=	1250	loss= 	 -0.3161476368352604	P^2_sum= 	0.3161476368352604	purity =	0.31621844163776613	offD = 	0.0014750852859221457
epo=	1300	loss= 	 -0.3161545384910176	P^2_sum= 	0.3161545384910176	purity =	0.3162184416377654	offD = 	0.0014073508018012976
epo=	1350	loss= 	 -0.31616058421128707	P^2_sum= 	0.31616058421128707	purity =	0.3162184416377656	offD = 	0.0013433632965535827
epo=	1400	loss= 	 -0.31616582119641373	P^2_sum= 	0.31616582119641373	purity =	0.3162184416377654	offD = 	0.0012835214579473837
epo=	1450	loss= 	 -0.31617031696476616	P^2_sum= 	0.31617031696476616	purity =	0.31621844163776547	offD = 	0.001228077367567483
epo=	1500	loss= 	 -0.31617415107998437	P^2_sum= 	0.31617415107998437	purity =	0.3162184416377659	offD = 	0.0011770960974448537
epo=	1550	loss= 	 -0.3161774076299402	P^2_sum= 	0.3161774076299402	purity =	0.3162184416377659	offD = 	0.0011306567302516752
epo=	1600	loss= 	 -0.31618016896936463	P^2_sum= 	0.31618016896936463	purity =	0.3162184416377656	offD = 	0.0010886818018748556
epo=	1650	loss= 	 -0.3161825120089528	P^2_sum= 	0.3161825120089528	purity =	0.3162184416377656	offD = 	0.001051055639247292
epo=	1700	loss= 	 -0.3161845054484528	P^2_sum= 	0.3161845054484528	purity =	0.3162184416377656	offD = 	0.0010175813095823774
epo=	1750	loss= 	 -0.31618620908649575	P^2_sum= 	0.31618620908649575	purity =	0.31621844163776575	offD = 	0.0009880130139645776
epo=	1800	loss= 	 -0.316187673293631	P^2_sum= 	0.316187673293631	purity =	0.3162184416377654	offD = 	0.0009620251221329117
epo=	1850	loss= 	 -0.3161889399071767	P^2_sum= 	0.3161889399071767	purity =	0.3162184416377652	offD = 	0.0009392586979047673
epo=	1900	loss= 	 -0.31619004298180864	P^2_sum= 	0.31619004298180864	purity =	0.3162184416377658	offD = 	0.0009193281755377908
epo=	1950	loss= 	 -0.3161910098335394	P^2_sum= 	0.3161910098335394	purity =	0.3162184416377652	offD = 	0.000901855925232363
epo=	2000	loss= 	 -0.31619186253138404	P^2_sum= 	0.31619186253138404	purity =	0.3162184416377653	offD = 	0.0008864686985411341
