epo=	0	loss= 	 2.880274493774329	P^2_sum= 	0.06325269004073862	purity =	0.078560607692966	offD = 	0.006604105805079009
epo=	75	loss= 	 2.15611123816207	P^2_sum= 	0.07534583351730079	purity =	0.07856053709882246	offD = 	0.002385510345411665
epo=	150	loss= 	 2.0922849888408144	P^2_sum= 	0.07689625697220728	purity =	0.07856050465116891	offD = 	0.001383007092442373
epo=	225	loss= 	 2.0734617151080785	P^2_sum= 	0.07746200004065243	purity =	0.07856064379776682	offD = 	0.0009223636572423902
epo=	300	loss= 	 2.0674106836331867	P^2_sum= 	0.07772656905621686	purity =	0.07856033952869515	offD = 	0.0006896502970624405
epo=	375	loss= 	 2.064634966932196	P^2_sum= 	0.07789462442557632	purity =	0.07856046148560134	offD = 	0.0005509408484371203
epo=	450	loss= 	 2.063022964171601	P^2_sum= 	0.07800873607947112	purity =	0.07856056474524234	offD = 	0.0004591698640990238
epo=	525	loss= 	 2.0619555013637045	P^2_sum= 	0.07809059441752551	purity =	0.07856058905440394	offD = 	0.0003933198395384383
epo=	600	loss= 	 2.0611925189369207	P^2_sum= 	0.07815450186774517	purity =	0.07856044026985992	offD = 	0.00034497423999152227
epo=	675	loss= 	 2.0606242843034828	P^2_sum= 	0.07820849919013638	purity =	0.07856042856106434	offD = 	0.0003084097976273544
epo=	750	loss= 	 2.0601885740564176	P^2_sum= 	0.07825565390076057	purity =	0.07856047091938076	offD = 	0.00027946603178612465
epo=	825	loss= 	 2.05984913252544	P^2_sum= 	0.07829683781481292	purity =	0.07856044505342956	offD = 	0.00025328559641448915
epo=	900	loss= 	 2.059583424941173	P^2_sum= 	0.07833251701246746	purity =	0.07856038935681381	offD = 	0.00022934881103720244
epo=	975	loss= 	 2.059376872513175	P^2_sum= 	0.07836337113001146	purity =	0.07856049813816378	offD = 	0.00020763956490533323
epo=	1050	loss= 	 2.05920959759066	P^2_sum= 	0.07838966363054212	purity =	0.07856041776426874	offD = 	0.00018804288388555584
epo=	1125	loss= 	 2.0590754158144415	P^2_sum= 	0.0784122376312224	purity =	0.07856037722239426	offD = 	0.00017042289581559135
epo=	1200	loss= 	 2.058969867973092	P^2_sum= 	0.07843178217854889	purity =	0.0785605362354633	offD = 	0.00015469859288631536
epo=	1275	loss= 	 2.0588781361740827	P^2_sum= 	0.07844816417160201	purity =	0.07856033342137407	offD = 	0.00014071401611151895
epo=	1350	loss= 	 2.0588072351754056	P^2_sum= 	0.07846236262904824	purity =	0.0785603986327794	offD = 	0.0001282201258819059
epo=	1425	loss= 	 2.058749342601131	P^2_sum= 	0.0784744050431333	purity =	0.07856044889534236	offD = 	0.00011711613471952284
epo=	1500	loss= 	 2.058704813888388	P^2_sum= 	0.07848472986523465	purity =	0.078560642612263	offD = 	0.00010732273205402333
