epo=	0	loss= 	 1.2641651694500164	P^2_sum= 	0.25107476250150623	purity =	0.3082982462505758	offD = 	0.03575832766046143
epo=	25	loss= 	 1.105793372065374	P^2_sum= 	0.2544502815964869	purity =	0.30829838380722857	offD = 	0.03770926661841628
epo=	50	loss= 	 0.9600693559859261	P^2_sum= 	0.26942797905282845	purity =	0.3082985298728654	offD = 	0.03572115076276142
epo=	75	loss= 	 0.8632889561691105	P^2_sum= 	0.28731294080937814	purity =	0.3082985247497456	offD = 	0.025026921771137786
epo=	100	loss= 	 0.8258500179261983	P^2_sum= 	0.29888475337294285	purity =	0.30829847476877414	offD = 	0.015532836607406824
epo=	125	loss= 	 0.813086967817432	P^2_sum= 	0.304626956180802	purity =	0.3082983531667006	offD = 	0.00940164311748154
epo=	150	loss= 	 0.808111650994064	P^2_sum= 	0.30700919061844767	purity =	0.30829839823579036	offD = 	0.005705428868783597
epo=	175	loss= 	 0.8061827830370374	P^2_sum= 	0.3078660455411969	purity =	0.30829852515802414	offD = 	0.003426324900413096
epo=	200	loss= 	 0.8054458764578142	P^2_sum= 	0.30815501738416545	purity =	0.30829827119378284	offD = 	0.002035379932908453
epo=	225	loss= 	 0.8051527019456867	P^2_sum= 	0.3082495063205552	purity =	0.3082981473524097	offD = 	0.0012067057042338927
epo=	250	loss= 	 0.8050251082316756	P^2_sum= 	0.30827945268539453	purity =	0.3082983811127269	offD = 	0.0007216758555693806
epo=	275	loss= 	 0.8049617391491565	P^2_sum= 	0.308288740578898	purity =	0.3082982429627813	offD = 	0.00043934672675578594
epo=	300	loss= 	 0.8049273440575487	P^2_sum= 	0.3082926456704065	purity =	0.30829853289213804	offD = 	0.00037345721479639676
epo=	325	loss= 	 0.8049066407800395	P^2_sum= 	0.3082945109610137	purity =	0.3082984385749512	offD = 	0.0003168313621575301
epo=	350	loss= 	 0.8048940856813376	P^2_sum= 	0.30829584899770984	purity =	0.30829844408013685	offD = 	0.0002601211458271583
epo=	375	loss= 	 0.8048862362154353	P^2_sum= 	0.30829670650772745	purity =	0.3082983595702222	offD = 	0.0002082297651418526
epo=	400	loss= 	 0.8048818405187382	P^2_sum= 	0.3082975788438316	purity =	0.30829859097913415	offD = 	0.00016344916801504312
epo=	425	loss= 	 0.8048788716416995	P^2_sum= 	0.3082979062496853	purity =	0.3082985045344011	offD = 	0.00012639300785353237
epo=	450	loss= 	 0.8048766733279316	P^2_sum= 	0.3082978001957607	purity =	0.3082981437856933	offD = 	9.667172312609196e-05
epo=	475	loss= 	 0.8048762505873568	P^2_sum= 	0.30829834838640024	purity =	0.30829854132205803	offD = 	7.34012462540009e-05
epo=	500	loss= 	 0.8048751566443652	P^2_sum= 	0.30829806396053605	purity =	0.3082981707579794	offD = 	5.5588432206185016e-05
