epo=	0	loss= 	 4.161429568476459	P^2_sum= 	0.03187954670798173	purity =	0.04401400350606907	offD = 	0.002992339227430784
epo=	250	loss= 	 2.927260230769416	P^2_sum= 	0.03695421285539087	purity =	0.044013863753962025	offD = 	0.0022539846829566852
epo=	500	loss= 	 2.853742427386611	P^2_sum= 	0.03778872482922563	purity =	0.044014032423189374	offD = 	0.0021221626065936554
epo=	750	loss= 	 2.8113015140538575	P^2_sum= 	0.03835659031158464	purity =	0.044013973636984685	offD = 	0.0020264826224363564
epo=	1000	loss= 	 2.790495775169401	P^2_sum= 	0.03857795146204687	purity =	0.044013955388287514	offD = 	0.001984434526342093
epo=	1250	loss= 	 2.767588113719451	P^2_sum= 	0.038894391141497626	purity =	0.04401401513997484	offD = 	0.0019359420173029394
epo=	1500	loss= 	 2.7528957467332553	P^2_sum= 	0.03911503919383983	purity =	0.044014010887311404	offD = 	0.001896481743152489
epo=	1750	loss= 	 2.7426729483353087	P^2_sum= 	0.0392832348297205	purity =	0.04401394369933828	offD = 	0.001863509079803381
epo=	2000	loss= 	 2.7369090979740855	P^2_sum= 	0.039341749525196895	purity =	0.044013965699470664	offD = 	0.0018590592724605924
epo=	2250	loss= 	 2.732127130441824	P^2_sum= 	0.03939225578427093	purity =	0.04401389810232349	offD = 	0.0018412398636896002
epo=	2500	loss= 	 2.7272663770436485	P^2_sum= 	0.03945591312908379	purity =	0.044013890467619776	offD = 	0.0018108724844847317
epo=	2750	loss= 	 2.72175502752805	P^2_sum= 	0.03951819087417471	purity =	0.044013886683414744	offD = 	0.0017873841320866883
epo=	3000	loss= 	 2.7165037299526866	P^2_sum= 	0.03959835642175623	purity =	0.04401396209878064	offD = 	0.0017698013817463495
epo=	3250	loss= 	 2.7144572862997567	P^2_sum= 	0.03962730231113092	purity =	0.04401385375173096	offD = 	0.0017735481478859127
epo=	3500	loss= 	 2.7133787915212886	P^2_sum= 	0.03963799081718824	purity =	0.04401406851498833	offD = 	0.0017722365905278406
epo=	3750	loss= 	 2.7126009499179937	P^2_sum= 	0.03964702274346095	purity =	0.04401394360817738	offD = 	0.0017687932417760448
epo=	4000	loss= 	 2.712125240362289	P^2_sum= 	0.03965265043414955	purity =	0.04401388674008156	offD = 	0.0017677287793770229
epo=	4250	loss= 	 2.7118175536818194	P^2_sum= 	0.03965481336295304	purity =	0.04401392641309047	offD = 	0.0017676066340138622
epo=	4500	loss= 	 2.7116423122051416	P^2_sum= 	0.03965448116256074	purity =	0.044013977900423405	offD = 	0.0017671893769178218
epo=	4750	loss= 	 2.7115438373064475	P^2_sum= 	0.039653048856303316	purity =	0.04401400654247407	offD = 	0.0017665535031758486
epo=	4999	loss= 	 2.7114848825863604	P^2_sum= 	0.03965144880904223	purity =	0.044014008822900436	offD = 	0.0017658890078043237
