epo=	0	loss= 	 3.9607259851764596	P^2_sum= 	0.03160272355693565	purity =	0.04401383918866754	offD = 	0.002997902486698201
epo=	250	loss= 	 2.621136641334247	P^2_sum= 	0.04126354908848957	purity =	0.04401394519504208	offD = 	0.0013377061482855023
epo=	500	loss= 	 2.5627395829374504	P^2_sum= 	0.042170011390076256	purity =	0.044013905733140526	offD = 	0.0010609886336135944
epo=	750	loss= 	 2.5350495495585776	P^2_sum= 	0.04265926255671884	purity =	0.04401391111963055	offD = 	0.0009016895459013796
epo=	1000	loss= 	 2.5217328153743535	P^2_sum= 	0.04288417185198028	purity =	0.04401398966663992	offD = 	0.0008224869588592694
epo=	1250	loss= 	 2.5112082141916927	P^2_sum= 	0.04306338514248813	purity =	0.0440138034768542	offD = 	0.0007464557202248824
epo=	1500	loss= 	 2.5063232413898686	P^2_sum= 	0.04314588558899453	purity =	0.04401393534916713	offD = 	0.0007139099769850298
epo=	1750	loss= 	 2.5027775619253356	P^2_sum= 	0.04321333986528059	purity =	0.0440139729880363	offD = 	0.0006938351611796335
epo=	2000	loss= 	 2.499458040175818	P^2_sum= 	0.043273420617698205	purity =	0.04401394257177234	offD = 	0.0006719698127495732
epo=	2250	loss= 	 2.497603189434401	P^2_sum= 	0.04330731824273518	purity =	0.044013853311586124	offD = 	0.0006557752169933987
epo=	2500	loss= 	 2.4965366179781645	P^2_sum= 	0.0433270214677989	purity =	0.0440138132223244	offD = 	0.0006436237064499082
epo=	2750	loss= 	 2.49550406939402	P^2_sum= 	0.04334666266601031	purity =	0.044013998879224914	offD = 	0.0006349186230554522
epo=	3000	loss= 	 2.4945570524046663	P^2_sum= 	0.043362318253052104	purity =	0.04401388894785542	offD = 	0.0006303455815890023
epo=	3250	loss= 	 2.4931324116985163	P^2_sum= 	0.0433867503368333	purity =	0.04401400992135708	offD = 	0.0006176446551293211
epo=	3500	loss= 	 2.491757166288287	P^2_sum= 	0.0434065036297004	purity =	0.04401390510880598	offD = 	0.0006071918665670148
epo=	3750	loss= 	 2.4910950410698236	P^2_sum= 	0.04341201636654196	purity =	0.04401389337571285	offD = 	0.0006025714234803526
epo=	4000	loss= 	 2.490673114724601	P^2_sum= 	0.04341443086478216	purity =	0.04401395073718705	offD = 	0.0006011754330262401
epo=	4250	loss= 	 2.4901441298708886	P^2_sum= 	0.04341796862148178	purity =	0.04401411007801869	offD = 	0.0006008305379542181
epo=	4500	loss= 	 2.4891092077374504	P^2_sum= 	0.043425435459021736	purity =	0.04401396534974236	offD = 	0.0005949154503814413
epo=	4750	loss= 	 2.488649745571809	P^2_sum= 	0.04342621603203602	purity =	0.044013951908189644	offD = 	0.000594986384049547
epo=	4999	loss= 	 2.4882909131315643	P^2_sum= 	0.043429513788597794	purity =	0.044013948240920295	offD = 	0.0005961529081112289
