epo=	0	loss= 	 2.0251379302105303	P^2_sum= 	0.12973969991034734	purity =	0.14630022591157849	offD = 	0.013111515686085698
epo=	100	loss= 	 1.6808406606532562	P^2_sum= 	0.1358913881372114	purity =	0.14630025383438391	offD = 	0.00994232527194201
epo=	200	loss= 	 1.536844420775214	P^2_sum= 	0.14382435791622772	purity =	0.14630028861958416	offD = 	0.004839021756095961
epo=	300	loss= 	 1.5157602362996538	P^2_sum= 	0.14482684887751274	purity =	0.14630035277590597	offD = 	0.0036146156246108334
epo=	400	loss= 	 1.5063782096687883	P^2_sum= 	0.1451471630771436	purity =	0.14630020115476225	offD = 	0.0030607259754079994
epo=	500	loss= 	 1.4970066831794842	P^2_sum= 	0.1453901507860813	purity =	0.14630014266989472	offD = 	0.0025729321703457067
epo=	600	loss= 	 1.4896067801712285	P^2_sum= 	0.14568961579359374	purity =	0.146300336982644	offD = 	0.0020436597379628434
epo=	700	loss= 	 1.4858649829938781	P^2_sum= 	0.14588999694145544	purity =	0.1463002902490338	offD = 	0.0016714306953178376
epo=	800	loss= 	 1.4836610548285951	P^2_sum= 	0.14600396437874374	purity =	0.1463002227658751	offD = 	0.0014097292851086502
epo=	900	loss= 	 1.4822344903889306	P^2_sum= 	0.14606958361176844	purity =	0.1463002707644268	offD = 	0.0012521476849226866
epo=	1000	loss= 	 1.4812757751313033	P^2_sum= 	0.14611146768898298	purity =	0.146300180479564	offD = 	0.0011209407590410804
epo=	1100	loss= 	 1.480598441846596	P^2_sum= 	0.1461427391328341	purity =	0.14630027380498548	offD = 	0.001001297754971822
epo=	1200	loss= 	 1.4800919662003946	P^2_sum= 	0.14616818516516855	purity =	0.14630005524679324	offD = 	0.0008918902052968466
epo=	1300	loss= 	 1.4797024159387095	P^2_sum= 	0.14619041099181151	purity =	0.14630020803883764	offD = 	0.0007900074647881328
epo=	1400	loss= 	 1.4793940777339456	P^2_sum= 	0.1462095095834987	purity =	0.14630015588046108	offD = 	0.0006945114566067497
epo=	1500	loss= 	 1.4791496673960491	P^2_sum= 	0.14622595834650035	purity =	0.14630011088579514	offD = 	0.0006081928137331192
epo=	1600	loss= 	 1.4789571136324307	P^2_sum= 	0.1462399348942173	purity =	0.1463000803927127	offD = 	0.0005342044389473829
epo=	1700	loss= 	 1.478808810293614	P^2_sum= 	0.14625186285680533	purity =	0.14630031505894275	offD = 	0.00046713435398282517
epo=	1800	loss= 	 1.4786929215780469	P^2_sum= 	0.1462613058323321	purity =	0.14630017497692052	offD = 	0.0004069757622795742
epo=	1900	loss= 	 1.4786061419117378	P^2_sum= 	0.14626908814774073	purity =	0.14630024261488345	offD = 	0.00035498739218082137
epo=	2000	loss= 	 1.4785404408869414	P^2_sum= 	0.14627519272335154	purity =	0.1463002255313195	offD = 	0.00031130694034170903
